model,frequency_bin,amplitude_frc,phase_frc
Baseline,0,1.000000,1.000000
Baseline,1,0.166414,0.025967
Baseline,2,0.361827,0.134572
Baseline,3,0.362116,0.143062
Baseline,4,0.388909,0.099901
Baseline,5,0.171070,0.217121
Baseline,6,0.058342,0.208119
Baseline,7,0.178041,0.032535
Baseline,8,0.352354,0.095988
Baseline,9,0.010557,0.166732
Baseline,10,0.390132,0.023335
Baseline,11,0.198436,0.100918
Baseline,12,0.406548,0.233054
Baseline,13,0.289552,0.427401
Baseline,14,0.190169,0.219051
Baseline,15,0.082304,0.150708
Baseline,16,0.168914,0.178616
Baseline,17,0.203693,0.151625
Baseline,18,0.052229,0.369160
Baseline,19,0.254877,0.175102
Baseline,20,0.245138,0.150687
Baseline,21,0.046027,0.182350
Baseline,22,0.126242,0.263313
Baseline,23,0.021690,0.305544
Baseline,24,0.349737,0.098317
Baseline,25,0.112254,0.070228
Baseline,26,0.298771,0.020612
Baseline,27,0.030888,0.255123
Baseline,28,0.045477,0.023146
Baseline,29,0.106025,0.098163
Baseline,30,0.113119,0.220115
Baseline,31,0.188733,0.040910
Baseline,32,0.155414,0.281462
Baseline,33,0.126109,0.152027
Baseline,34,0.033971,0.256993
Baseline,35,0.101605,0.092491
Baseline,36,0.047674,0.262586
Baseline,37,0.101109,0.216618
Baseline,38,0.088104,0.792166
