benchmark,row_id,model_label,parameter_count,parameter_count_source_field,training_runtime_seconds,training_runtime_source_field,training_runtime_status,hardware_label,inference_throughput_status,inference_samples_per_second,inference_latency_ms,throughput_source_field,source_path,claim_boundary
CDI,pinn,CNN + PINN,4661212,unique_trainable_params,530.9505021998193,train_wall_time_sec,provenance_context,tensorflow / /physical_device:GPU:0,measured,524.5064148370284,,test_patch_count/inference_time_sec,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
CDI,pinn_fno_vanilla,FNO + PINN,636450,unique_trainable_params,497.1534016658552,train_wall_time_sec,provenance_context,pytorch / NVIDIA GeForce RTX 3090,measured,1904.4745131596637,,test_patch_count/inference_time_sec,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
CDI,pinn_ffno,FFNO + PINN,701626,unique_trainable_params,4754.923254606314,train_wall_time_sec,provenance_context,pytorch / NVIDIA GeForce RTX 3090,measured,171.4241738802047,,test_patch_count/inference_time_sec,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
CDI,pinn_hybrid_resnet,SRU-Net + PINN,9003299,unique_trainable_params,1066.795081803808,train_wall_time_sec,provenance_context,pytorch / NVIDIA GeForce RTX 3090,measured,1075.8460913300028,,test_patch_count/inference_time_sec,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
CDI,pinn_neuralop_uno,U-NO + PINN,1257858,unique_trainable_params,1094.941273,command_wall_time_sec,provenance_context,pytorch / NVIDIA GeForce RTX 3090,missing,,,,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
CDI,baseline,CNN + supervised,4612418,unique_trainable_params,611.9325758698396,train_wall_time_sec,provenance_context,tensorflow / /physical_device:GPU:0,measured,393.43105533025476,,test_patch_count/inference_time_sec,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
CDI,supervised_ffno,FFNO + supervised,1418147,unique_trainable_params,4609.253561115358,train_wall_time_sec,provenance_context,pytorch / NVIDIA GeForce RTX 3090,measured,228.77613808526297,,test_patch_count/inference_time_sec,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
CDI,supervised_neuralop_uno,U-NO + supervised,1257858,unique_trainable_params,1093.462175,command_wall_time_sec,provenance_context,pytorch / NVIDIA GeForce RTX 3090,missing,,,,docs/plans/NEURIPS-HYBRID-RESNET-2026/tables/model_config_by_benchmark.json,complete_lines128_cdi_benchmark_plus_uno_extension_with_final_depth24_no_refiner_ffno_pair
PDEBench CNS,author_ffno_cns_base,FFNO,1074440,parameter_count,5103.250108957291,runtime_sec,provenance_context,,missing,,,,.artifacts/work/NEURIPS-HYBRID-RESNET-2026/backlog/2026-05-04-cns-matched-condition-table-refresh/cns_paper_table_rows.json,bounded_capped_decision_support_only
PDEBench CNS,spectral_resnet_bottleneck_base,SRU-Net,8395270,parameter_count,1436.7038459777832,runtime_sec,provenance_context,,missing,,,,.artifacts/work/NEURIPS-HYBRID-RESNET-2026/backlog/2026-05-04-cns-matched-condition-table-refresh/cns_paper_table_rows.json,bounded_capped_decision_support_only
PDEBench CNS,fno_base,FNO,358628,parameter_count,1129.7886884212494,runtime_sec,provenance_context,,missing,,,,.artifacts/work/NEURIPS-HYBRID-RESNET-2026/backlog/2026-05-04-cns-matched-condition-table-refresh/cns_paper_table_rows.json,bounded_capped_decision_support_only
PDEBench CNS,unet_strong,U-Net,7768036,parameter_count,1070.9980742931366,runtime_sec,provenance_context,,missing,,,,.artifacts/work/NEURIPS-HYBRID-RESNET-2026/backlog/2026-05-04-cns-matched-condition-table-refresh/cns_paper_table_rows.json,bounded_capped_decision_support_only
BRDT,ffno,FFNO,27538,parameter_count,209.9171904688701,wall_time_train_s,provenance_context,cuda,measured,387.33304016812446,,samples_per_second,.artifacts/NEURIPS-HYBRID-RESNET-2026/backlog/2026-05-07-brdt-sinogram-input-40ep-paper-evidence/combined_metrics.json,paper_evidence_brdt_additive
BRDT,sru_net,SRU-Net,142162,parameter_count,164.29025180032477,wall_time_train_s,provenance_context,cuda,measured,404.69782004336173,,samples_per_second,.artifacts/NEURIPS-HYBRID-RESNET-2026/backlog/2026-05-07-brdt-sinogram-input-40ep-paper-evidence/combined_metrics.json,paper_evidence_brdt_additive
